manoibo,tensanpham,hinhdang,duongkinh,macthep,xuatxu
M6C,Thép cuộn D6 CB240T,cuộn,D6,CB240T,VNS
TH6C,Thép D6 cuộn CB240T,cuộn,D6,CB240T,THS
H6C,Thép cuộn D6 CB240T,cuộn,D6,CB240T,HPG
SAE6C,Thép D6 cuộn SAE 1008,cuộn,D6,CB240T,HPG
P6C,Thép cuộn D6 CB240T,cuộn,D6,CB240T,POM
VAS6C,Thép D6 cuộn CB240T C3,cuộn,D6,CB240T,VAS
VAS6C4,Thép D6 cuộn CB240T C4,cuộn,D6,CB240T,VAS
VD6C,Thép D6 Cuộn CB240T,cuộn,D6,CB240T,VGS
VKS6C,Thép D6 cuộn CB240T,cuộn,D6,CB240T,VKS
TH6CB300,Thép D6 cuộn CB300T,cuộn,D6,CB300T,THS
M8C,Thép cuộn D8 CB240T,cuộn,D8,CB240T,VNS
TH8C,Thép D8 cuộn CB240T,cuộn,D8,CB240T,THS
H8C,Thép cuộn D8 CB240T,cuộn,D8,CB240T,HPG
P8C,Thép cuộn D8 CB240T,cuộn,D8,CB240T,POM
VAS8C,Thép D8 cuộn CB240T C3,cuộn,D8,CB240T,VAS
VAS8C4,Thép D8 cuộn CB240T C4,cuộn,D8,CB240T,VAS
VD8C,Thép D8 Cuộn CB240T,cuộn,D8,CB240T,VGS
VKS8C,Thép D8 cuộn CB240T,cuộn,D8,CB240T,VKS
TH8CB300,Thép D8 cuộn CB300T,cuộn,D8,CB300T,THS
M10C,Thép cuộn D10 CB240T,cuộn,D10,CB240T,VNS
TH10CB,Thép D10 CB240 THS,cuộn,D10,CB240T,THS
TH10C,Thép cuộn D10 CB240T,cuộn,D10,CB240T,THS
H10C,Thép cuộn D10 CB240T,cuộn,D10,CB240T,HPG
P10C,Thép cuộn D10 CB240T,cuộn,D10,CB240T,POM
VAS10C,Thép D10 cuộn CB240T C3,cuộn,D10,CB240T,VAS
VAS10C4-C,Thép D10 cuộn CB240T C4,cuộn,D10,CB240T,VAS
VD10C,Thép D10 Cuộn CB240T,cuộn,D10,CB240T,VGS
